FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CHO,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,MER,MGH,MPA,PED,SAC,SAG,SFE,TAH,TLA,TLI,UIZ,VIF,XAL
01/01/2019,1,201,39,105,84,120,119,113,149,78,-99,-99,77,31,132,113,119,-99,-99,-99,149,50,191,78,-99,129,280,155
01/01/2019,2,218,27,128,115,135,241,158,211,111,-99,-99,81,20,202,141,124,-99,-99,-99,149,54,225,73,-99,125,257,236
01/01/2019,3,240,20,93,134,177,274,192,214,137,-99,-99,96,12,198,118,143,-99,-99,-99,152,65,185,80,-99,132,509,337
01/01/2019,4,231,10,86,124,204,294,143,178,161,-99,-99,112,12,192,154,168,-99,-99,-99,217,33,172,84,-99,136,611,271
01/01/2019,5,216,7,68,143,162,254,123,234,103,-99,-99,110,5,178,227,164,-99,-99,-99,242,29,83,63,-99,191,653,226
01/01/2019,6,156,10,95,107,130,237,97,162,68,-99,-99,126,4,182,216,151,-99,-99,-99,188,21,76,67,-99,192,504,256
01/01/2019,7,121,17,78,95,120,261,60,126,61,-99,-99,135,-99,165,211,129,-99,-99,-99,172,15,84,62,-99,188,463,246
01/01/2019,8,99,20,64,115,102,95,81,128,73,-99,-99,98,-99,159,183,108,-99,-99,-99,189,20,66,41,-99,177,476,207
01/01/2019,9,79,32,77,101,71,97,68,240,101,-99,-99,104,-99,147,145,105,-99,-99,-99,190,18,139,64,-99,158,341,217
01/01/2019,10,71,35,83,103,100,86,36,142,19,-99,-99,110,4,143,193,93,-99,-99,-99,247,60,98,134,-99,159,218,215
01/01/2019,11,42,59,43,120,100,76,16,85,49,-99,-99,108,15,134,144,60,-99,-99,-99,163,69,153,199,-99,150,158,203
01/01/2019,12,53,65,-99,124,98,46,25,74,40,-99,-99,89,16,124,112,45,-99,-99,-99,116,61,89,80,-99,116,55,132
01/01/2019,13,39,90,-99,100,62,-99,36,6,19,-99,-99,98,19,98,74,68,-99,-99,-99,69,60,47,69,-99,59,20,73
01/01/2019,14,47,91,41,100,-99,28,36,2,45,-99,-99,70,20,51,66,94,-99,-99,-99,58,61,3,59,-99,74,25,55
01/01/2019,15,57,62,42,75,50,64,35,47,30,-99,-99,51,17,58,70,67,-99,-99,-99,53,48,13,50,-99,76,-99,47
01/01/2019,16,57,45,39,53,74,42,53,-99,40,-99,-99,47,15,58,60,58,-99,-99,-99,48,65,27,49,-99,63,35,77
01/01/2019,17,83,29,55,55,71,29,74,39,46,-99,-99,52,19,59,40,39,-99,-99,-99,62,74,11,48,-99,42,64,58
01/01/2019,18,68,20,49,41,42,32,56,91,63,-99,-99,37,20,46,52,35,-99,-99,-99,61,61,29,47,-99,40,99,62
01/01/2019,19,74,28,79,24,35,43,29,125,55,-99,-99,42,35,58,51,35,-99,-99,-99,87,55,38,42,-99,61,74,59
01/01/2019,20,89,14,93,21,40,64,40,67,81,-99,-99,38,48,59,73,46,-99,-99,-99,76,53,54,52,-99,41,76,75
01/01/2019,21,77,17,78,43,55,36,50,47,71,-99,-99,32,32,54,57,48,-99,-99,-99,69,45,87,56,-99,45,164,94
01/01/2019,22,79,49,53,56,52,38,50,48,50,-99,-99,51,30,89,62,52,-99,-99,-99,69,45,94,54,-99,56,29,120
01/01/2019,23,71,42,52,51,47,50,49,61,38,-99,-99,49,33,73,74,43,-99,-99,-99,50,46,71,46,-99,67,68,92
01/01/2019,24,72,40,38,42,50,23,48,25,31,-99,-99,44,31,65,57,41,-99,-99,-99,72,43,61,35,-99,68,28,85
02/01/2019,1,61,37,31,37,49,23,45,14,21,-99,-99,35,26,76,81,40,-99,-99,-99,46,41,53,36,-99,60,14,69
02/01/2019,2,58,31,30,61,42,26,42,21,33,-99,-99,36,20,79,92,41,-99,-99,-99,50,34,51,34,-99,58,21,65
02/01/2019,3,59,27,32,46,42,11,37,33,31,-99,-99,49,10,61,71,41,-99,-99,-99,61,18,51,41,-99,62,42,54
02/01/2019,4,46,30,26,48,48,27,27,51,22,-99,-99,53,13,73,55,39,-99,-99,-99,68,9,37,45,-99,63,49,73
02/01/2019,5,40,39,29,53,60,31,24,31,27,-99,-99,45,8,59,86,42,-99,-99,-99,99,13,65,45,-99,58,52,72
02/01/2019,6,45,33,39,51,63,37,21,62,19,-99,-99,74,6,80,103,46,-99,-99,-99,99,18,31,63,-99,90,57,84
02/01/2019,7,42,37,76,76,87,140,17,61,34,-99,-99,91,10,141,119,61,-99,-99,-99,99,27,46,65,-99,67,68,95
02/01/2019,8,47,39,51,105,124,88,22,65,73,-99,-99,101,12,127,140,71,-99,-99,-99,132,21,71,54,-99,71,71,113
02/01/2019,9,51,46,50,112,103,119,25,85,52,-99,-99,99,7,126,162,75,-99,-99,-99,157,29,74,98,-99,112,80,149
02/01/2019,10,52,64,92,137,131,76,25,70,80,-99,-99,121,8,149,172,107,-99,-99,-99,163,49,69,142,-99,109,91,196
02/01/2019,11,51,71,89,127,146,72,47,127,97,-99,-99,108,6,135,164,137,-99,-99,-99,153,109,66,123,-99,128,113,205
02/01/2019,12,50,67,130,119,125,53,95,98,-99,-99,-99,93,11,135,106,92,-99,-99,-99,140,113,39,98,-99,106,29,111
02/01/2019,13,37,68,69,95,145,-99,113,53,-99,-99,-99,71,15,92,71,63,-99,-99,-99,89,88,38,61,-99,107,18,99
02/01/2019,14,48,68,37,77,101,-99,88,61,-99,-99,-99,88,10,98,82,73,-99,-99,-99,75,102,17,52,-99,74,-99,77
02/01/2019,15,38,72,47,81,69,91,78,52,93,-99,-99,85,12,68,88,68,-99,-99,-99,52,100,-99,62,-99,46,25,64
02/01/2019,16,31,66,47,75,79,89,56,58,88,-99,-99,61,15,79,90,62,-99,-99,-99,42,91,-99,70,-99,34,28,62
02/01/2019,17,69,56,65,30,45,54,26,85,73,-99,-99,46,10,37,49,56,-99,-99,-99,83,77,-99,71,-99,51,43,113
02/01/2019,18,91,49,81,31,34,46,22,119,70,-99,-99,51,12,59,63,66,-99,-99,-99,66,31,-99,59,-99,-99,62,107
02/01/2019,19,89,44,28,30,51,100,24,69,65,-99,-99,40,15,56,46,48,-99,-99,-99,59,35,-99,65,-99,-99,74,93
02/01/2019,20,111,22,105,35,51,92,18,132,89,-99,-99,32,14,55,64,23,-99,-99,-99,75,30,-99,70,-99,56,66,81
02/01/2019,21,109,15,58,44,77,62,12,126,99,-99,-99,42,-99,45,68,16,-99,-99,-99,71,23,-99,61,-99,51,108,116
02/01/2019,22,96,13,-99,37,85,8,12,87,58,-99,-99,50,-99,35,80,20,-99,-99,-99,122,8,-99,69,-99,53,146,87
02/01/2019,23,83,19,43,45,88,5,10,99,53,-99,-99,37,-99,59,72,10,-99,-99,-99,107,16,-99,51,-99,49,104,70
02/01/2019,24,114,25,68,46,49,11,12,72,47,-99,-99,41,-99,65,57,22,-99,-99,-99,117,13,-99,41,-99,47,108,88
03/01/2019,1,119,20,62,27,35,17,23,71,41,-99,75,36,-99,64,72,29,-99,-99,-99,110,13,23,40,-99,37,130,96
03/01/2019,2,90,34,48,29,27,32,20,53,37,-99,62,30,-99,46,80,31,-99,-99,-99,133,22,25,51,-99,47,87,114
03/01/2019,3,81,47,37,26,21,77,28,41,31,-99,71,34,-99,44,49,24,-99,-99,-99,124,27,36,55,-99,47,66,128
03/01/2019,4,65,44,39,39,58,30,38,39,24,-99,77,32,-99,51,38,30,-99,-99,-99,70,38,17,25,-99,47,56,118
03/01/2019,5,53,40,48,32,63,38,12,35,24,-99,88,31,3,56,55,34,-99,-99,-99,90,26,23,27,-99,42,156,130
03/01/2019,6,52,36,43,32,58,77,17,45,29,-99,81,23,5,37,45,39,-99,-99,-99,76,21,35,31,-99,40,143,147
03/01/2019,7,47,32,51,40,63,94,21,61,38,-99,70,30,7,37,63,37,-99,-99,-99,82,29,42,37,-99,43,161,156
03/01/2019,8,60,28,51,41,121,143,29,81,63,-99,86,31,6,37,95,53,-99,-99,-99,61,35,56,60,-99,58,140,188
03/01/2019,9,62,39,59,47,108,173,20,156,71,-99,116,54,8,46,98,54,-99,-99,-99,139,35,86,123,-99,88,135,190
03/01/2019,10,69,51,74,66,100,-99,29,79,61,-99,114,70,9,61,117,54,-99,-99,-99,172,44,72,109,-99,100,134,161
03/01/2019,11,73,55,60,67,108,-99,30,47,56,-99,79,64,6,100,125,77,-99,-99,-99,112,47,96,112,-99,84,121,133
03/01/2019,12,57,65,86,59,99,79,34,140,71,-99,72,59,17,80,95,54,-99,-99,-99,108,40,75,116,-99,83,115,105
03/01/2019,13,63,62,127,50,71,36,39,85,80,-99,60,-99,30,78,97,43,-99,-99,-99,77,38,64,102,-99,85,-99,70
03/01/2019,14,38,57,111,82,45,47,50,76,93,-99,46,-99,21,83,74,77,-99,-99,-99,49,63,73,114,-99,71,-99,90
03/01/2019,15,38,50,41,79,60,43,54,66,84,-99,37,-99,21,52,64,77,-99,-99,-99,38,71,8,100,-99,35,-99,-99
03/01/2019,16,55,36,26,66,57,76,40,39,46,-99,38,-99,14,31,45,70,-99,-99,-99,51,85,35,69,-99,30,-99,-99
03/01/2019,17,49,47,55,43,-99,56,57,44,45,-99,42,-99,23,25,27,64,-99,-99,-99,70,74,65,91,-99,43,68,-99
03/01/2019,18,62,59,62,53,46,56,62,57,48,-99,65,39,26,53,70,63,-99,-99,-99,86,61,81,82,-99,43,22,146
03/01/2019,19,95,62,85,73,69,49,62,99,65,-99,63,63,20,75,52,61,-99,-99,-99,128,77,75,82,-99,-99,215,107
03/01/2019,20,111,56,104,51,56,35,41,186,90,-99,56,72,25,65,65,50,-99,-99,-99,-99,68,111,80,-99,45,125,88
03/01/2019,21,95,55,95,62,59,40,51,193,115,-99,44,60,38,58,81,52,-99,-99,-99,-99,67,86,71,-99,53,114,86
03/01/2019,22,82,50,67,67,88,6,40,183,92,-99,52,65,38,71,83,66,-99,-99,-99,-99,59,87,89,-99,51,134,121
03/01/2019,23,90,44,58,73,101,68,36,165,69,-99,53,67,34,62,101,63,-99,-99,-99,-99,52,54,92,-99,59,162,118
03/01/2019,24,96,46,55,61,102,29,35,98,54,-99,53,63,26,58,77,64,-99,-99,-99,-99,49,35,101,-99,54,173,95
04/01/2019,1,111,42,54,53,113,66,35,89,46,-99,57,57,28,54,80,64,-99,-99,-99,-99,41,56,85,-99,56,133,96
04/01/2019,2,122,40,50,54,76,56,42,78,46,-99,59,57,32,55,73,64,-99,-99,-99,-99,38,53,80,-99,50,105,86
04/01/2019,3,106,31,58,55,62,59,42,70,37,-99,47,56,32,58,68,55,-99,-99,-99,-99,34,31,68,-99,43,137,103
04/01/2019,4,83,28,50,46,60,59,39,40,34,-99,52,48,28,51,61,46,-99,-99,-99,179,32,32,63,-99,39,194,100
04/01/2019,5,69,27,49,34,87,73,32,41,33,-99,54,36,18,48,38,38,-99,-99,-99,192,30,17,54,-99,21,163,113
04/01/2019,6,66,28,48,45,66,68,28,62,37,-99,66,36,11,42,51,38,-99,-99,-99,140,24,48,47,-99,42,110,125
