"","Year","Month","Day","station","Date","PromDiario","ZONA"
"36","2019","08","17","AJM",2019-08-17,14,"SO"
"37","2020","01","06","AJM",2020-01-06,29,"SO"
"38","2019","03","15","AJM",2019-03-15,26,"SO"
"39","2020","03","21","AJM",2020-03-21,23,"SO"
"40","2019","09","20","AJM",2019-09-20,21,"SO"
"41","2019","04","06","AJM",2019-04-06,25,"SO"
"42","2019","07","28","AJM",2019-07-28,10,"SO"
"43","2020","04","28","AJM",2020-04-28,15,"SO"
"44","2019","09","07","AJM",2019-09-07,20,"SO"
"45","2019","10","01","AJM",2019-10-01,12,"SO"
"46","2019","02","28","AJM",2019-02-28,13,"SO"
"47","2019","06","02","AJM",2019-06-02,5,"SO"
"48","2019","06","19","AJM",2019-06-19,21,"SO"
"49","2019","03","05","AJM",2019-03-05,13,"SO"
"50","2020","04","01","AJM",2020-04-01,22,"SO"
"51","2019","01","26","AJM",2019-01-26,11,"SO"
"52","2019","04","17","AJM",2019-04-17,30,"SO"
"53","2019","09","04","AJM",2019-09-04,17,"SO"
"54","2020","04","18","AJM",2020-04-18,30,"SO"
"55","2019","01","18","AJM",2019-01-18,18,"SO"
"56","2019","05","10","AJM",2019-05-10,31,"SO"
"57","2019","07","07","AJM",2019-07-07,18,"SO"
"58","2020","03","04","AJM",2020-03-04,10,"SO"
"59","2020","04","23","AJM",2020-04-23,19,"SO"
"60","2019","12","27","AJM",2019-12-27,29,"SO"
"61","2019","06","12","AJM",2019-06-12,16,"SO"
"62","2020","01","20","AJM",2020-01-20,13,"SO"
"63","2019","03","20","AJM",2019-03-20,15,"SO"
"64","2020","01","30","AJM",2020-01-30,5,"SO"
"65","2020","03","10","AJM",2020-03-10,23,"SO"
"66","2019","09","13","AJM",2019-09-13,8,"SO"
"67","2019","12","15","AJM",2019-12-15,23,"SO"
"68","2019","11","27","AJM",2019-11-27,21,"SO"
"69","2019","04","20","AJM",2019-04-20,18,"SO"
"70","2020","03","13","AJM",2020-03-13,17,"SO"
"71","2019","09","09","AJM",2019-09-09,15,"SO"
"72","2020","03","26","AJM",2020-03-26,23,"SO"
"73","2019","05","03","AJM",2019-05-03,23,"SO"
"74","2020","03","15","AJM",2020-03-15,16,"SO"
"75","2020","03","28","AJM",2020-03-28,20,"SO"
"76","2019","05","18","AJM",2019-05-18,24,"SO"
"77","2019","10","27","AJM",2019-10-27,25,"SO"
"78","2020","04","16","AJM",2020-04-16,33,"SO"
"79","2019","01","02","AJM",2019-01-02,26,"SO"
"80","2020","03","30","AJM",2020-03-30,26,"SO"
"81","2019","10","03","AJM",2019-10-03,9,"SO"
"82","2019","04","02","AJM",2019-04-02,21,"SO"
"83","2019","04","23","AJM",2019-04-23,26,"SO"
"84","2019","09","17","AJM",2019-09-17,17,"SO"
"85","2019","03","19","AJM",2019-03-19,15,"SO"
"86","2019","12","26","AJM",2019-12-26,18,"SO"
"87","2020","03","27","AJM",2020-03-27,18,"SO"
"88","2019","02","01","AJM",2019-02-01,14,"SO"
"89","2019","06","30","AJM",2019-06-30,16,"SO"
"90","2019","07","08","AJM",2019-07-08,16,"SO"
"91","2019","10","24","AJM",2019-10-24,16,"SO"
"92","2019","05","26","AJM",2019-05-26,15,"SO"
"93","2019","09","06","AJM",2019-09-06,22,"SO"
"94","2019","07","19","AJM",2019-07-19,16,"SO"
"95","2019","01","29","AJM",2019-01-29,20,"SO"
"96","2020","03","01","AJM",2020-03-01,18,"SO"
"97","2019","05","30","AJM",2019-05-30,26,"SO"
"98","2019","08","03","AJM",2019-08-03,14,"SO"
"99","2019","06","17","AJM",2019-06-17,20,"SO"
"100","2019","11","14","AJM",2019-11-14,9,"SO"
"101","2019","03","25","AJM",2019-03-25,10,"SO"
"102","2019","12","09","AJM",2019-12-09,14,"SO"
"103","2019","06","07","AJM",2019-06-07,13,"SO"
"104","2019","10","02","AJM",2019-10-02,9,"SO"
"105","2019","01","25","AJM",2019-01-25,11,"SO"
"106","2019","06","14","AJM",2019-06-14,12,"SO"
"107","2019","06","15","AJM",2019-06-15,19,"SO"
"108","2019","06","25","AJM",2019-06-25,14,"SO"
"109","2020","01","25","AJM",2020-01-25,14,"SO"
"110","2019","04","27","AJM",2019-04-27,35,"SO"
"111","2019","04","18","AJM",2019-04-18,23,"SO"
"112","2019","10","05","AJM",2019-10-05,15,"SO"
"113","2020","01","04","AJM",2020-01-04,27,"SO"
"114","2019","11","08","AJM",2019-11-08,11,"SO"
"115","2019","04","10","AJM",2019-04-10,20,"SO"
"116","2019","10","30","AJM",2019-10-30,25,"SO"
"117","2020","03","29","AJM",2020-03-29,23,"SO"
"118","2020","05","02","AJM",2020-05-02,15,"SO"
"119","2019","10","16","AJM",2019-10-16,7,"SO"
"120","2019","12","20","AJM",2019-12-20,42,"SO"
"121","2019","03","21","AJM",2019-03-21,21,"SO"
"122","2019","12","07","AJM",2019-12-07,24,"SO"
"123","2020","01","12","AJM",2020-01-12,18,"SO"
"124","2019","07","21","AJM",2019-07-21,13,"SO"
"125","2020","01","29","AJM",2020-01-29,10,"SO"
"126","2019","09","10","AJM",2019-09-10,18,"SO"
"127","2019","05","01","AJM",2019-05-01,18,"SO"
"128","2019","08","22","AJM",2019-08-22,14,"SO"
"129","2019","09","23","AJM",2019-09-23,17,"SO"
"130","2019","07","13","AJM",2019-07-13,17,"SO"
"131","2019","10","15","AJM",2019-10-15,17,"SO"
"132","2019","07","18","AJM",2019-07-18,17,"SO"
"133","2019","01","07","AJM",2019-01-07,16,"SO"
"134","2019","10","12","AJM",2019-10-12,11,"SO"
"135","2019","04","16","AJM",2019-04-16,35,"SO"
"136","2019","12","04","AJM",2019-12-04,18,"SO"
"137","2019","05","08","AJM",2019-05-08,21,"SO"
"138","2019","07","31","AJM",2019-07-31,21,"SO"
"139","2019","07","06","AJM",2019-07-06,15,"SO"
"140","2019","07","22","AJM",2019-07-22,18,"SO"
"141","2019","08","20","AJM",2019-08-20,10,"SO"
"142","2019","04","12","AJM",2019-04-12,16,"SO"
"143","2019","04","29","AJM",2019-04-29,38,"SO"
"144","2019","06","20","AJM",2019-06-20,28,"SO"
"145","2019","08","10","AJM",2019-08-10,8,"SO"
"146","2019","04","15","AJM",2019-04-15,35,"SO"
"147","2019","10","13","AJM",2019-10-13,17,"SO"
"148","2019","06","09","AJM",2019-06-09,11,"SO"
"149","2019","07","12","AJM",2019-07-12,18,"SO"
"150","2019","03","10","AJM",2019-03-10,24,"SO"
"151","2019","01","03","AJM",2019-01-03,26,"SO"
"152","2020","01","26","AJM",2020-01-26,10,"SO"
"153","2020","01","09","AJM",2020-01-09,17,"SO"
"154","2019","03","28","AJM",2019-03-28,17,"SO"
"155","2019","01","11","AJM",2019-01-11,20,"SO"
"156","2019","12","05","AJM",2019-12-05,19,"SO"
"157","2019","11","18","AJM",2019-11-18,14,"SO"
"158","2019","06","05","AJM",2019-06-05,11,"SO"
"159","2019","02","03","AJM",2019-02-03,22,"SO"
"160","2019","07","02","AJM",2019-07-02,11,"SO"
"161","2020","03","03","AJM",2020-03-03,9,"SO"
"162","2019","11","09","AJM",2019-11-09,9,"SO"
"163","2019","04","05","AJM",2019-04-05,27,"SO"
"164","2019","04","22","AJM",2019-04-22,27,"SO"
"165","2019","04","19","AJM",2019-04-19,19,"SO"
"166","2019","03","24","AJM",2019-03-24,16,"SO"
"167","2020","03","08","AJM",2020-03-08,19,"SO"
"168","2020","03","16","AJM",2020-03-16,16,"SO"
"169","2019","04","28","AJM",2019-04-28,34,"SO"
"170","2019","01","12","AJM",2019-01-12,28,"SO"
"171","2019","07","16","AJM",2019-07-16,16,"SO"
"172","2019","05","24","AJM",2019-05-24,31,"SO"
"173","2019","05","19","AJM",2019-05-19,23,"SO"
"174","2019","02","25","AJM",2019-02-25,21,"SO"
"175","2019","06","22","AJM",2019-06-22,23,"SO"
"176","2019","01","30","AJM",2019-01-30,12,"SO"
"177","2019","05","02","AJM",2019-05-02,14,"SO"
"178","2019","09","11","AJM",2019-09-11,13,"SO"
"179","2019","08","13","AJM",2019-08-13,12,"SO"
"180","2020","03","22","AJM",2020-03-22,16,"SO"
"181","2019","09","01","AJM",2019-09-01,14,"SO"
"182","2019","11","22","AJM",2019-11-22,16,"SO"
"183","2019","07","01","AJM",2019-07-01,12,"SO"
"184","2019","01","05","AJM",2019-01-05,30,"SO"
"185","2019","11","17","AJM",2019-11-17,17,"SO"
"186","2019","10","07","AJM",2019-10-07,8,"SO"
"187","2019","12","14","AJM",2019-12-14,17,"SO"
"188","2020","03","31","AJM",2020-03-31,15,"SO"
"189","2019","07","23","AJM",2019-07-23,16,"SO"
"190","2019","09","12","AJM",2019-09-12,12,"SO"
"191","2019","08","04","AJM",2019-08-04,21,"SO"
"192","2019","01","20","AJM",2019-01-20,25,"SO"
"193","2019","01","17","AJM",2019-01-17,28,"SO"
"194","2019","09","02","AJM",2019-09-02,14,"SO"
"195","2019","01","23","AJM",2019-01-23,11,"SO"
"196","2019","11","15","AJM",2019-11-15,23,"SO"
"197","2019","12","28","AJM",2019-12-28,15,"SO"
"198","2020","01","24","AJM",2020-01-24,14,"SO"
"199","2019","06","13","AJM",2019-06-13,11,"SO"
"200","2019","05","23","AJM",2019-05-23,30,"SO"
"201","2020","04","29","AJM",2020-04-29,11,"SO"
"202","2020","01","19","AJM",2020-01-19,9,"SO"
"203","2019","11","26","AJM",2019-11-26,16,"SO"
"204","2019","07","10","AJM",2019-07-10,15,"SO"
"205","2019","08","02","AJM",2019-08-02,18,"SO"
"206","2019","10","21","AJM",2019-10-21,9,"SO"
"207","2019","01","09","AJM",2019-01-09,24,"SO"
"208","2019","05","04","AJM",2019-05-04,37,"SO"
"209","2019","04","08","AJM",2019-04-08,30,"SO"
"210","2020","01","10","AJM",2020-01-10,10,"SO"
"211","2019","07","03","AJM",2019-07-03,16,"SO"
"212","2019","11","03","AJM",2019-11-03,9,"SO"
"213","2019","10","28","AJM",2019-10-28,29,"SO"
"214","2019","10","09","AJM",2019-10-09,9,"SO"
"215","2019","11","19","AJM",2019-11-19,27,"SO"
"216","2019","02","04","AJM",2019-02-04,20,"SO"
"217","2020","05","03","AJM",2020-05-03,14,"SO"
"218","2019","08","06","AJM",2019-08-06,12,"SO"
"219","2019","12","24","AJM",2019-12-24,19,"SO"
"220","2019","05","05","AJM",2019-05-05,34,"SO"
"221","2020","03","09","AJM",2020-03-09,20,"SO"
"222","2019","03","01","AJM",2019-03-01,23,"SO"
"223","2019","04","09","AJM",2019-04-09,17,"SO"
"224","2019","10","19","AJM",2019-10-19,7,"SO"
"225","2019","01","22","AJM",2019-01-22,10,"SO"
"226","2019","02","02","AJM",2019-02-02,26,"SO"
"227","2019","09","15","AJM",2019-09-15,12,"SO"
"228","2019","08","14","AJM",2019-08-14,12,"SO"
"229","2019","07","26","AJM",2019-07-26,15,"SO"
"230","2019","06","10","AJM",2019-06-10,11,"SO"
"231","2020","04","26","AJM",2020-04-26,18,"SO"
"232","2020","05","04","AJM",2020-05-04,11,"SO"
"233","2019","05","09","AJM",2019-05-09,35,"SO"
"234","2019","12","25","AJM",2019-12-25,17,"SO"
"235","2019","01","08","AJM",2019-01-08,20,"SO"
"236","2019","06","18","AJM",2019-06-18,13,"SO"
"237","2019","05","15","AJM",2019-05-15,61,"SO"
"238","2019","08","11","AJM",2019-08-11,12,"SO"
"239","2019","01","14","AJM",2019-01-14,26,"SO"
"240","2019","06","29","AJM",2019-06-29,10,"SO"
"241","2019","08","27","AJM",2019-08-27,15,"SO"
"242","2019","06","21","AJM",2019-06-21,18,"SO"
"243","2019","11","12","AJM",2019-11-12,12,"SO"
"244","2019","05","07","AJM",2019-05-07,24,"SO"
"245","2019","07","30","AJM",2019-07-30,18,"SO"
"246","2019","08","05","AJM",2019-08-05,14,"SO"
"247","2019","06","24","AJM",2019-06-24,9,"SO"
"248","2019","05","29","AJM",2019-05-29,31,"SO"
"249","2019","09","28","AJM",2019-09-28,16,"SO"
"250","2019","12","29","AJM",2019-12-29,14,"SO"
"251","2019","10","06","AJM",2019-10-06,11,"SO"
"252","2019","11","16","AJM",2019-11-16,27,"SO"
"253","2019","08","28","AJM",2019-08-28,18,"SO"
"254","2019","02","22","AJM",2019-02-22,5,"SO"
"255","2019","10","25","AJM",2019-10-25,24,"SO"
"256","2019","01","27","AJM",2019-01-27,11,"SO"
"257","2020","01","27","AJM",2020-01-27,9,"SO"
"258","2019","09","26","AJM",2019-09-26,21,"SO"
"259","2019","03","27","AJM",2019-03-27,12,"SO"
"260","2019","01","19","AJM",2019-01-19,22,"SO"
"261","2019","12","11","AJM",2019-12-11,32,"SO"
"262","2019","07","14","AJM",2019-07-14,24,"SO"
"263","2019","01","10","AJM",2019-01-10,26,"SO"
"264","2019","01","13","AJM",2019-01-13,23,"SO"
"265","2019","05","14","AJM",2019-05-14,55,"SO"
"266","2019","03","12","AJM",2019-03-12,14,"SO"
"267","2019","08","23","AJM",2019-08-23,22,"SO"
"268","2019","05","25","AJM",2019-05-25,25,"SO"
"269","2019","08","07","AJM",2019-08-07,11,"SO"
"270","2020","03","20","AJM",2020-03-20,16,"SO"
"271","2019","09","19","AJM",2019-09-19,10,"SO"
"272","2019","04","21","AJM",2019-04-21,18,"SO"
"273","2019","12","31","AJM",2019-12-31,13,"SO"
"274","2019","03","23","AJM",2019-03-23,14,"SO"
"275","2019","09","27","AJM",2019-09-27,14,"SO"
"276","2019","12","12","AJM",2019-12-12,23,"SO"
"277","2020","04","14","AJM",2020-04-14,25,"SO"
"278","2019","08","01","AJM",2019-08-01,14,"SO"
"279","2019","03","13","AJM",2019-03-13,16,"SO"
"280","2019","10","08","AJM",2019-10-08,8,"SO"
"281","2019","08","30","AJM",2019-08-30,13,"SO"
"282","2019","08","08","AJM",2019-08-08,9,"SO"
"283","2019","08","18","AJM",2019-08-18,19,"SO"
"284","2020","04","22","AJM",2020-04-22,21,"SO"
"285","2019","07","24","AJM",2019-07-24,15,"SO"
"286","2019","10","11","AJM",2019-10-11,16,"SO"
"287","2019","07","05","AJM",2019-07-05,22,"SO"
"288","2019","01","01","AJM",2019-01-01,25,"SO"
"289","2019","05","13","AJM",2019-05-13,68,"SO"
"290","2019","09","03","AJM",2019-09-03,13,"SO"
"291","2019","11","06","AJM",2019-11-06,12,"SO"
"292","2019","08","31","AJM",2019-08-31,13,"SO"
"293","2019","06","06","AJM",2019-06-06,16,"SO"
"294","2020","03","06","AJM",2020-03-06,42,"SO"
"295","2019","11","24","AJM",2019-11-24,23,"SO"
"296","2019","04","14","AJM",2019-04-14,38,"SO"
"297","2019","12","06","AJM",2019-12-06,9,"SO"
"298","2019","07","25","AJM",2019-07-25,19,"SO"
"299","2019","05","11","AJM",2019-05-11,68,"SO"
"300","2020","01","08","AJM",2020-01-08,23,"SO"
"301","2019","09","21","AJM",2019-09-21,16,"SO"
"302","2019","03","09","AJM",2019-03-09,20,"SO"
"303","2019","04","26","AJM",2019-04-26,34,"SO"
"304","2019","12","16","AJM",2019-12-16,16,"SO"
"305","2020","03","14","AJM",2020-03-14,16,"SO"
"306","2020","01","11","AJM",2020-01-11,11,"SO"
"307","2020","03","17","AJM",2020-03-17,18,"SO"
"308","2019","11","30","AJM",2019-11-30,23,"SO"
"309","2019","06","04","AJM",2019-06-04,8,"SO"
"310","2020","05","01","AJM",2020-05-01,12,"SO"
"311","2019","07","29","AJM",2019-07-29,12,"SO"
"312","2019","09","05","AJM",2019-09-05,21,"SO"
"313","2019","05","31","AJM",2019-05-31,19,"SO"
"314","2019","04","30","AJM",2019-04-30,20,"SO"
"315","2019","05","28","AJM",2019-05-28,29,"SO"
"316","2019","04","24","AJM",2019-04-24,33,"SO"
"317","2019","11","05","AJM",2019-11-05,15,"SO"
"318","2019","09","16","AJM",2019-09-16,21,"SO"
"319","2019","03","08","AJM",2019-03-08,14,"SO"
"320","2019","12","10","AJM",2019-12-10,22,"SO"
"321","2019","06","08","AJM",2019-06-08,14,"SO"
"322","2019","09","30","AJM",2019-09-30,6,"SO"
"323","2019","12","03","AJM",2019-12-03,21,"SO"
"324","2019","06","01","AJM",2019-06-01,8,"SO"
"325","2019","01","06","AJM",2019-01-06,21,"SO"
"326","2020","01","22","AJM",2020-01-22,16,"SO"
"327","2019","12","23","AJM",2019-12-23,31,"SO"
"328","2019","04","01","AJM",2019-04-01,22,"SO"
"329","2019","12","08","AJM",2019-12-08,27,"SO"
"330","2019","01","15","AJM",2019-01-15,33,"SO"
"331","2019","01","21","AJM",2019-01-21,24,"SO"
"332","2019","05","21","AJM",2019-05-21,30,"SO"
"333","2019","08","16","AJM",2019-08-16,12,"SO"
"334","2019","09","14","AJM",2019-09-14,6,"SO"
"335","2020","03","19","AJM",2020-03-19,14,"SO"
"336","2019","01","24","AJM",2019-01-24,12,"SO"
"337","2019","08","09","AJM",2019-08-09,21,"SO"
"338","2020","04","25","AJM",2020-04-25,21,"SO"
"339","2019","11","10","AJM",2019-11-10,16,"SO"
"340","2019","10","04","AJM",2019-10-04,15,"SO"
"341","2019","06","23","AJM",2019-06-23,15,"SO"
"342","2020","03","23","AJM",2020-03-23,14,"SO"
"343","2019","06","03","AJM",2019-06-03,8,"SO"
"344","2019","09","08","AJM",2019-09-08,15,"SO"
"345","2019","04","25","AJM",2019-04-25,29,"SO"
"346","2019","11","04","AJM",2019-11-04,26,"SO"
"347","2019","01","16","AJM",2019-01-16,31,"SO"
"348","2020","03","25","AJM",2020-03-25,19,"SO"
"349","2019","10","26","AJM",2019-10-26,12,"SO"
"350","2019","07","20","AJM",2019-07-20,20,"SO"
"351","2020","01","21","AJM",2020-01-21,22,"SO"
"352","2019","02","23","AJM",2019-02-23,12,"SO"
"353","2020","03","12","AJM",2020-03-12,15,"SO"
"354","2019","03","26","AJM",2019-03-26,7,"SO"
"355","2019","10","29","AJM",2019-10-29,23,"SO"
"356","2019","06","26","AJM",2019-06-26,20,"SO"
"357","2020","03","07","AJM",2020-03-07,38,"SO"
"358","2019","12","02","AJM",2019-12-02,24,"SO"
"359","2019","11","28","AJM",2019-11-28,12,"SO"
"360","2019","07","15","AJM",2019-07-15,19,"SO"
"361","2019","03","02","AJM",2019-03-02,18,"SO"
"362","2019","03","06","AJM",2019-03-06,18,"SO"
"363","2019","05","16","AJM",2019-05-16,60,"SO"
"364","2019","02","24","AJM",2019-02-24,15,"SO"
"365","2019","09","25","AJM",2019-09-25,26,"SO"
"366","2019","10","14","AJM",2019-10-14,13,"SO"
"367","2019","03","22","AJM",2019-03-22,14,"SO"
"368","2020","01","07","AJM",2020-01-07,14,"SO"
"369","2019","01","28","AJM",2019-01-28,15,"SO"
"370","2020","03","24","AJM",2020-03-24,14,"SO"
"371","2019","05","06","AJM",2019-05-06,31,"SO"
"372","2019","01","04","AJM",2019-01-04,28,"SO"
"373","2019","04","11","AJM",2019-04-11,20,"SO"
"374","2019","10","31","AJM",2019-10-31,11,"SO"
"375","2020","01","18","AJM",2020-01-18,15,"SO"
"376","2019","05","17","AJM",2019-05-17,31,"SO"
"377","2019","11","20","AJM",2019-11-20,27,"SO"
"378","2020","04","15","AJM",2020-04-15,32,"SO"
"379","2019","05","27","AJM",2019-05-27,24,"SO"
"380","2019","11","01","AJM",2019-11-01,24,"SO"
"381","2020","03","11","AJM",2020-03-11,21,"SO"
"382","2019","11","11","AJM",2019-11-11,18,"SO"
"383","2019","05","12","AJM",2019-05-12,66,"SO"
"384","2019","12","22","AJM",2019-12-22,34,"SO"
"385","2020","04","17","AJM",2020-04-17,32,"SO"
"386","2020","03","02","AJM",2020-03-02,16,"SO"
"387","2019","02","27","AJM",2019-02-27,9,"SO"
"388","2019","11","23","AJM",2019-11-23,16,"SO"
"389","2019","10","22","AJM",2019-10-22,15,"SO"
"390","2019","04","03","AJM",2019-04-03,22,"SO"
"391","2019","03","07","AJM",2019-03-07,18,"SO"
"392","2019","10","10","AJM",2019-10-10,15,"SO"
"393","2019","07","04","AJM",2019-07-04,23,"SO"
"394","2019","05","20","AJM",2019-05-20,31,"SO"
"395","2019","04","07","AJM",2019-04-07,21,"SO"
"396","2020","01","28","AJM",2020-01-28,6,"SO"
"397","2019","03","29","AJM",2019-03-29,21,"SO"
"398","2019","11","07","AJM",2019-11-07,14,"SO"
"399","2019","03","30","AJM",2019-03-30,28,"SO"
"400","2019","06","16","AJM",2019-06-16,22,"SO"
"401","2019","11","21","AJM",2019-11-21,26,"SO"
"402","2019","04","04","AJM",2019-04-04,27,"SO"
"403","2019","10","18","AJM",2019-10-18,8,"SO"
"404","2020","03","18","AJM",2020-03-18,23,"SO"
"405","2019","12","17","AJM",2019-12-17,20,"SO"
"406","2020","03","05","AJM",2020-03-05,22,"SO"
"407","2019","03","16","AJM",2019-03-16,19,"SO"
"408","2019","02","26","AJM",2019-02-26,12,"SO"
"409","2019","11","25","AJM",2019-11-25,19,"SO"
"410","2019","12","13","AJM",2019-12-13,14,"SO"
"411","2019","03","11","AJM",2019-03-11,19,"SO"
"412","2019","12","01","AJM",2019-12-01,12,"SO"
"413","2019","03","17","AJM",2019-03-17,30,"SO"
"414","2020","04","04","AJU",2020-04-04,20,"SO"
"415","2020","03","27","AJU",2020-03-27,20,"SO"
"416","2020","03","04","AJU",2020-03-04,13,"SO"
"417","2020","02","26","AJU",2020-02-26,15,"SO"
"418","2019","11","04","AJU",2019-11-04,16,"SO"
"419","2020","10","15","AJU",2020-10-15,9,"SO"
"420","2019","07","06","AJU",2019-07-06,14,"SO"
"421","2020","02","21","AJU",2020-02-21,13,"SO"
"422","2019","01","30","AJU",2019-01-30,10,"SO"
"423","2020","07","23","AJU",2020-07-23,12,"SO"
"424","2019","12","05","AJU",2019-12-05,18,"SO"
"425","2020","03","13","AJU",2020-03-13,21,"SO"
"426","2019","11","18","AJU",2019-11-18,13,"SO"
"427","2019","06","08","AJU",2019-06-08,12,"SO"
"428","2020","10","30","AJU",2020-10-30,19,"SO"
"429","2019","06","28","AJU",2019-06-28,13,"SO"
"430","2020","04","27","AJU",2020-04-27,13,"SO"
"431","2020","07","15","AJU",2020-07-15,9,"SO"
"432","2020","01","05","AJU",2020-01-05,17,"SO"
"433","2020","01","14","AJU",2020-01-14,12,"SO"
"434","2019","05","02","AJU",2019-05-02,20,"SO"
"435","2019","02","07","AJU",2019-02-07,23,"SO"
"436","2020","08","14","AJU",2020-08-14,10,"SO"
"437","2020","04","28","AJU",2020-04-28,20,"SO"
"438","2020","11","08","AJU",2020-11-08,17,"SO"
"439","2020","04","21","AJU",2020-04-21,24,"SO"
"440","2020","10","26","AJU",2020-10-26,13,"SO"
"441","2019","07","18","AJU",2019-07-18,13,"SO"
"442","2020","02","23","AJU",2020-02-23,19,"SO"
"443","2019","01","02","AJU",2019-01-02,9,"SO"
"444","2020","12","07","AJU",2020-12-07,21,"SO"
"445","2020","07","30","AJU",2020-07-30,16,"SO"
"446","2019","01","29","AJU",2019-01-29,16,"SO"
"447","2019","12","26","AJU",2019-12-26,16,"SO"
"448","2019","07","21","AJU",2019-07-21,9,"SO"
"449","2020","02","20","AJU",2020-02-20,20,"SO"
"450","2020","12","18","AJU",2020-12-18,15,"SO"
"451","2019","06","27","AJU",2019-06-27,12,"SO"
"452","2020","02","07","AJU",2020-02-07,9,"SO"
"453","2020","12","05","AJU",2020-12-05,11,"SO"
"454","2020","02","08","AJU",2020-02-08,10,"SO"
"455","2019","06","29","AJU",2019-06-29,10,"SO"
"456","2019","10","27","AJU",2019-10-27,16,"SO"
"457","2019","10","25","AJU",2019-10-25,18,"SO"
"458","2019","07","02","AJU",2019-07-02,7,"SO"
"459","2020","03","19","AJU",2020-03-19,21,"SO"
"460","2020","01","25","AJU",2020-01-25,10,"SO"
"461","2020","02","01","AJU",2020-02-01,10,"SO"
"462","2020","11","10","AJU",2020-11-10,17,"SO"
"463","2020","04","02","AJU",2020-04-02,26,"SO"
"464","2020","01","23","AJU",2020-01-23,16,"SO"
"465","2019","05","22","AJU",2019-05-22,20,"SO"
"466","2020","07","24","AJU",2020-07-24,13,"SO"
"467","2020","08","02","AJU",2020-08-02,16,"SO"
"468","2020","03","03","AJU",2020-03-03,16,"SO"
"469","2020","04","25","AJU",2020-04-25,42,"SO"
"470","2020","11","30","AJU",2020-11-30,25,"SO"
"471","2019","01","27","AJU",2019-01-27,13,"SO"
"472","2019","12","07","AJU",2019-12-07,19,"SO"
"473","2020","04","16","AJU",2020-04-16,30,"SO"
"474","2020","11","05","AJU",2020-11-05,22,"SO"
"475","2020","07","22","AJU",2020-07-22,11,"SO"
"476","2020","02","04","AJU",2020-02-04,11,"SO"
"477","2020","01","26","AJU",2020-01-26,9,"SO"
"478","2020","10","14","AJU",2020-10-14,10,"SO"
"479","2019","02","11","AJU",2019-02-11,16,"SO"
"480","2020","02","15","AJU",2020-02-15,20,"SO"
"481","2019","02","13","AJU",2019-02-13,20,"SO"
"482","2019","11","02","AJU",2019-11-02,18,"SO"
"483","2019","02","03","AJU",2019-02-03,17,"SO"
"484","2019","01","26","AJU",2019-01-26,12,"SO"
"485","2020","03","18","AJU",2020-03-18,23,"SO"
"486","2019","07","27","AJU",2019-07-27,9,"SO"
"487","2020","02","05","AJU",2020-02-05,6,"SO"
"488","2019","07","24","AJU",2019-07-24,12,"SO"
"489","2019","07","05","AJU",2019-07-05,16,"SO"
"490","2019","05","07","AJU",2019-05-07,32,"SO"
"491","2019","06","11","AJU",2019-06-11,11,"SO"
"492","2020","08","01","AJU",2020-08-01,10,"SO"
"493","2019","02","01","AJU",2019-02-01,11,"SO"
"494","2020","04","09","AJU",2020-04-09,27,"SO"
"495","2019","06","09","AJU",2019-06-09,13,"SO"
"496","2020","03","06","AJU",2020-03-06,35,"SO"
"497","2020","11","29","AJU",2020-11-29,19,"SO"
