"","Year","Month","Day","station","Date","PromDiario","ZONA"
"1","2019","06","28","AJM",2019-06-28,10,"SO"
"2","2019","03","04","AJM",2019-03-04,11,"SO"
"3","2019","11","29","AJM",2019-11-29,16,"SO"
"4","2019","07","09","AJM",2019-07-09,21,"SO"
"5","2019","12","18","AJM",2019-12-18,42,"SO"
"6","2019","03","18","AJM",2019-03-18,18,"SO"
"7","2019","12","21","AJM",2019-12-21,33,"SO"
"8","2019","08","25","AJM",2019-08-25,18,"SO"
"9","2019","09","22","AJM",2019-09-22,15,"SO"
"10","2019","08","29","AJM",2019-08-29,16,"SO"
"11","2019","12","19","AJM",2019-12-19,47,"SO"
"12","2019","07","11","AJM",2019-07-11,22,"SO"
"13","2019","03","31","AJM",2019-03-31,31,"SO"
"14","2019","06","11","AJM",2019-06-11,9,"SO"
"15","2019","08","19","AJM",2019-08-19,11,"SO"
"16","2020","01","23","AJM",2020-01-23,13,"SO"
"17","2020","04","24","AJM",2020-04-24,25,"SO"
"18","2019","09","24","AJM",2019-09-24,26,"SO"
"19","2020","04","30","AJM",2020-04-30,12,"SO"
"20","2019","05","22","AJM",2019-05-22,19,"SO"
"21","2019","08","26","AJM",2019-08-26,20,"SO"
"22","2019","03","03","AJM",2019-03-03,17,"SO"
"23","2019","10","23","AJM",2019-10-23,15,"SO"
"24","2019","10","17","AJM",2019-10-17,8,"SO"
"25","2019","08","15","AJM",2019-08-15,14,"SO"
"26","2019","03","14","AJM",2019-03-14,22,"SO"
"27","2019","07","27","AJM",2019-07-27,13,"SO"
"28","2019","06","27","AJM",2019-06-27,12,"SO"
"29","2020","04","27","AJM",2020-04-27,10,"SO"
"30","2020","01","05","AJM",2020-01-05,19,"SO"
"31","2019","08","24","AJM",2019-08-24,15,"SO"
"32","2019","01","31","AJM",2019-01-31,10,"SO"
"33","2019","04","13","AJM",2019-04-13,20,"SO"
"34","2019","08","21","AJM",2019-08-21,9,"SO"
"35","2019","07","17","AJM",2019-07-17,12,"SO"
