FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,FAR,GAM,HGM,INN,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TLA,UAX,UIZ,XAL
02/01/2020,15,-99,-99,9,-99,5,-99,4,-99,-99,2,7,-99,-99,-99,12,-99,10,-99,1,-99,8,6,-99,11
02/01/2020,16,-99,-99,1,-99,7,-99,7,-99,-99,3,20,-99,-99,-99,8,-99,14,-99,2,-99,9,2,-99,9
02/01/2020,17,-99,-99,1,-99,2,-99,6,-99,-99,-99,5,-99,-99,-99,10,-99,7,-99,4,-99,-99,5,-99,6
02/01/2020,18,-99,-99,-99,-99,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,7,-99,8,-99,2,-99,8,-99,-99,10
02/01/2020,19,-99,-99,4,-99,3,-99,11,-99,-99,-99,2,-99,-99,-99,8,-99,6,-99,3,-99,6,4,-99,11
02/01/2020,20,-99,-99,7,-99,1,-99,15,-99,-99,-99,5,-99,-99,-99,6,-99,6,-99,1,-99,5,5,-99,11
02/01/2020,21,-99,-99,7,-99,3,-99,12,-99,-99,-99,7,-99,-99,-99,6,-99,5,-99,3,-99,2,4,-99,6
02/01/2020,22,-99,-99,1,-99,2,-99,-99,-99,-99,-99,1,-99,-99,-99,7,-99,6,-99,2,-99,9,6,-99,8
02/01/2020,23,-99,-99,1,-99,8,-99,5,-99,-99,-99,3,-99,-99,-99,4,3,7,-99,6,-99,-99,2,-99,5
02/01/2020,24,-99,-99,7,-99,1,-99,4,-99,-99,-99,10,-99,-99,-99,5,3,2,-99,2,-99,-99,1,-99,6
03/01/2020,1,-99,-99,4,-99,6,-99,1,-99,-99,-99,6,-99,-99,-99,4,5,-99,-99,-99,-99,-99,7,-99,7
03/01/2020,2,-99,-99,6,-99,9,-99,6,-99,-99,-99,4,-99,-99,-99,2,6,-99,-99,-99,-99,-99,2,-99,11
03/01/2020,3,-99,-99,5,-99,2,-99,-99,-99,-99,-99,9,-99,-99,-99,6,5,-99,-99,-99,-99,-99,-99,-99,5
03/01/2020,4,-99,-99,2,-99,5,-99,6,-99,-99,-99,2,-99,-99,-99,3,8,1,-99,-99,-99,-99,4,-99,5
03/01/2020,5,-99,-99,-99,-99,4,-99,4,-99,-99,-99,3,-99,-99,-99,6,5,2,-99,-99,-99,-99,4,-99,11
03/01/2020,6,-99,-99,-99,-99,4,-99,2,-99,-99,-99,11,-99,-99,-99,4,3,1,-99,-99,-99,-99,4,-99,5
03/01/2020,7,-99,-99,1,-99,5,-99,5,-99,-99,-99,7,-99,-99,-99,5,8,3,-99,-99,-99,9,7,-99,15
03/01/2020,8,4,-99,7,-99,5,-99,4,-99,-99,-99,6,-99,-99,-99,2,4,3,-99,-99,-99,17,8,-99,11
03/01/2020,9,1,-99,4,-99,7,-99,6,-99,-99,-99,4,-99,-99,-99,6,7,15,-99,-99,-99,14,15,-99,7
03/01/2020,10,4,-99,3,-99,4,-99,10,-99,-99,-99,6,-99,-99,-99,12,10,12,-99,-99,-99,13,-99,7,22
03/01/2020,11,3,3,5,-99,2,-99,3,-99,-99,-99,-99,-99,-99,-99,8,1,8,-99,-99,-99,14,-99,28,14
03/01/2020,12,21,5,6,-99,5,-99,7,-99,-99,-99,-99,-99,-99,-99,6,2,6,-99,-99,-99,18,-99,15,11
03/01/2020,13,8,17,10,-99,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,7,1,4,-99,8,-99,8,-99,11,10
03/01/2020,14,9,15,7,-99,5,-99,2,-99,-99,-99,-99,-99,-99,-99,5,-99,9,3,8,-99,9,-99,3,11
03/01/2020,15,8,13,8,-99,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,12,6,12,4,5,-99,5,11,1,5
03/01/2020,16,9,19,8,-99,8,-99,15,-99,-99,-99,-99,-99,-99,-99,15,6,15,15,8,-99,-99,14,24,12
03/01/2020,17,6,17,2,-99,13,-99,20,-99,-99,-99,-99,-99,-99,-99,21,6,14,27,7,-99,4,17,23,25
03/01/2020,18,7,13,13,-99,11,-99,19,-99,-99,-99,12,-99,-99,-99,16,10,17,7,5,-99,7,18,6,18
03/01/2020,19,14,21,10,-99,20,-99,21,-99,-99,-99,11,-99,-99,-99,19,13,14,19,8,-99,11,25,11,20
03/01/2020,20,15,17,12,-99,19,-99,24,-99,-99,-99,3,-99,-99,-99,20,16,15,7,15,-99,20,20,23,22
03/01/2020,21,13,15,16,-99,19,-99,14,-99,-99,-99,9,-99,-99,-99,17,19,15,2,11,-99,22,22,23,17
03/01/2020,22,20,15,15,-99,20,-99,17,-99,-99,-99,25,-99,-99,-99,21,23,18,36,8,-99,31,24,17,21
03/01/2020,23,14,15,18,-99,22,-99,21,-99,-99,-99,34,-99,-99,-99,18,24,17,13,5,-99,29,27,17,29
03/01/2020,24,7,10,22,-99,26,-99,22,-99,-99,-99,23,-99,-99,-99,20,7,16,22,-99,-99,27,34,24,30
04/01/2020,1,8,15,23,-99,26,-99,17,-99,-99,-99,23,-99,-99,-99,22,13,25,20,3,-99,25,28,24,27
04/01/2020,2,8,9,22,-99,24,-99,23,-99,-99,-99,22,-99,-99,-99,26,12,49,17,7,-99,9,32,29,28
04/01/2020,3,11,10,18,-99,28,-99,21,-99,-99,-99,30,-99,-99,-99,36,19,29,45,9,-99,19,29,18,35
04/01/2020,4,10,8,26,-99,22,-99,34,-99,-99,-99,21,-99,-99,-99,48,18,25,30,6,-99,8,25,24,35
04/01/2020,5,12,7,19,-99,20,-99,28,-99,-99,-99,23,-99,-99,-99,42,14,29,35,5,-99,24,27,17,36
04/01/2020,6,6,11,23,-99,22,-99,30,-99,-99,-99,25,-99,-99,-99,42,10,31,23,13,-99,12,36,24,47
04/01/2020,7,16,4,17,-99,21,-99,23,-99,-99,-99,30,-99,-99,-99,31,11,34,30,8,-99,20,34,31,33
04/01/2020,8,16,1,26,-99,21,-99,25,-99,-99,-99,24,-99,-99,-99,34,18,40,29,15,-99,34,37,24,29
04/01/2020,9,22,5,36,-99,19,-99,35,-99,-99,2,31,-99,-99,-99,34,24,40,20,13,-99,33,29,29,51
04/01/2020,10,29,12,34,-99,22,-99,29,-99,-99,4,40,-99,-99,-99,40,28,49,27,23,-99,44,23,38,41
04/01/2020,11,32,20,33,-99,29,-99,21,-99,-99,7,46,-99,-99,-99,33,32,50,34,30,-99,38,24,51,44
04/01/2020,12,37,45,37,-99,35,-99,34,-99,-99,11,54,-99,-99,-99,31,35,42,41,35,-99,54,36,18,53
04/01/2020,13,44,60,56,-99,39,-99,35,-99,-99,19,53,-99,-99,-99,34,51,50,37,42,-99,46,27,51,58
04/01/2020,14,60,62,65,-99,48,-99,37,-99,-99,26,68,-99,-99,-99,42,67,49,49,55,-99,54,30,55,56
04/01/2020,15,67,54,54,-99,50,-99,41,-99,-99,32,80,-99,-99,-99,44,65,51,63,53,-99,49,40,43,47
04/01/2020,16,67,50,55,-99,49,-99,45,-99,-99,54,73,-99,-99,-99,52,63,59,57,59,-99,51,50,35,46
04/01/2020,17,63,50,51,-99,46,-99,39,-99,-99,64,64,-99,-99,-99,60,56,65,38,50,-99,36,56,44,40
04/01/2020,18,43,48,32,-99,35,-99,34,-99,-99,55,35,-99,-99,-99,46,36,53,35,36,-99,24,51,46,22
04/01/2020,19,29,37,18,-99,20,-99,15,-99,-99,37,41,-99,-99,-99,25,21,27,14,23,-99,13,30,24,17
04/01/2020,20,16,16,11,-99,14,-99,13,-99,-99,31,11,-99,-99,-99,11,17,21,26,18,-99,12,18,8,12
04/01/2020,21,12,7,11,-99,3,-99,12,-99,-99,24,8,-99,-99,-99,14,17,20,20,15,-99,-99,15,15,14
04/01/2020,22,19,12,8,-99,14,-99,14,-99,-99,17,27,-99,-99,-99,22,17,29,19,11,-99,12,13,13,23
04/01/2020,23,15,8,15,-99,9,-99,12,-99,-99,13,3,-99,-99,-99,27,19,22,17,17,-99,14,13,10,15
04/01/2020,24,11,10,12,-99,15,-99,14,-99,-99,13,19,-99,-99,-99,19,18,21,20,18,-99,15,15,15,11
05/01/2020,1,13,5,12,-99,9,-99,10,-99,-99,14,15,-99,-99,-99,22,16,20,27,14,-99,11,15,20,18
05/01/2020,2,13,10,13,-99,16,-99,17,-99,-99,10,20,-99,-99,-99,23,22,22,20,14,-99,13,21,21,17
05/01/2020,3,17,12,14,-99,11,-99,18,-99,-99,10,30,-99,-99,-99,28,20,19,7,13,-99,16,18,17,20
05/01/2020,4,19,11,17,-99,17,-99,15,-99,-99,15,20,-99,-99,-99,18,17,19,11,10,-99,23,18,17,31
05/01/2020,5,15,11,23,-99,17,-99,10,-99,-99,17,31,-99,-99,-99,18,22,13,25,18,-99,25,20,16,23
05/01/2020,6,15,13,26,-99,19,-99,18,-99,-99,11,15,-99,-99,-99,21,18,13,20,16,-99,18,23,16,24
05/01/2020,7,13,18,18,-99,22,-99,13,-99,-99,9,21,-99,-99,-99,23,18,17,12,16,-99,15,22,26,33
05/01/2020,8,17,18,22,-99,21,-99,16,-99,-99,7,21,-99,-99,-99,28,22,18,27,10,-99,16,18,25,23
05/01/2020,9,19,15,20,-99,18,-99,14,-99,-99,9,15,-99,-99,-99,22,20,25,36,11,-99,18,13,31,33
05/01/2020,10,24,6,20,-99,16,-99,20,-99,-99,4,23,-99,-99,-99,27,23,25,27,18,-99,20,17,23,42
05/01/2020,11,24,-99,30,-99,21,-99,31,-99,-99,5,32,-99,-99,-99,23,25,29,40,23,-99,22,22,29,47
05/01/2020,12,25,11,30,-99,24,-99,30,-99,-99,7,38,-99,-99,-99,22,31,30,48,19,-99,16,19,54,57
05/01/2020,13,16,28,25,-99,19,-99,22,-99,-99,12,-99,-99,-99,-99,23,28,28,30,19,-99,13,-99,38,52
05/01/2020,14,11,27,20,-99,9,-99,15,-99,-99,9,-99,-99,-99,-99,22,18,33,14,11,-99,16,-99,33,43
05/01/2020,15,13,19,14,-99,1,-99,15,-99,-99,18,10,-99,-99,-99,25,20,29,15,12,-99,13,3,22,39
05/01/2020,16,14,25,24,-99,9,-99,14,-99,-99,21,17,-99,-99,-99,24,17,31,25,6,-99,14,9,23,32
05/01/2020,17,12,18,27,-99,12,-99,17,-99,-99,23,45,-99,-99,-99,17,26,27,6,17,-99,15,14,20,26
05/01/2020,18,24,20,24,-99,23,-99,15,-99,-99,15,30,-99,-99,-99,31,20,27,19,10,-99,14,26,50,26
05/01/2020,19,24,27,14,-99,25,-99,22,-99,-99,18,4,-99,-99,-99,25,24,43,49,17,-99,35,29,46,25
05/01/2020,20,17,20,27,-99,23,-99,35,-99,-99,15,46,-99,-99,-99,44,23,49,40,20,-99,26,34,32,32
05/01/2020,21,26,13,24,-99,22,-99,42,-99,-99,18,38,-99,-99,-99,67,23,46,25,22,-99,27,43,46,37
05/01/2020,22,26,14,35,-99,28,-99,25,-99,-99,15,31,-99,-99,-99,28,24,30,26,20,-99,23,54,30,32
05/01/2020,23,27,25,41,-99,25,-99,18,-99,-99,14,25,-99,-99,-99,31,21,32,64,23,-99,15,53,34,25
05/01/2020,24,33,21,31,-99,23,-99,21,-99,-99,16,24,-99,-99,-99,26,23,38,26,22,-99,24,42,22,30
06/01/2020,1,32,24,23,-99,22,-99,25,-99,-99,15,25,-99,-99,-99,29,27,27,19,23,-99,16,46,19,31
06/01/2020,2,28,23,31,-99,28,-99,30,-99,-99,13,4,-99,-99,-99,39,26,25,25,20,-99,22,37,23,31
06/01/2020,3,29,21,31,-99,24,-99,26,-99,-99,12,31,-99,-99,-99,34,29,24,33,21,-99,20,23,27,32
