FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,FAR,GAM,HGM,INN,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TLA,UAX,UIZ,XAL
01/01/2019,1,19,35,62,90,66,-99,-99,-99,56,22,69,101,102,-99,133,-99,-99,92,33,-99,55,74,99,96
01/01/2019,2,17,24,88,104,84,-99,-99,-99,61,14,95,103,108,-99,164,-99,-99,100,40,-99,52,115,99,164
01/01/2019,3,14,20,107,140,95,-99,-99,-99,74,8,82,125,125,-99,206,-99,-99,104,52,-99,59,150,109,249
01/01/2019,4,6,15,101,162,97,-99,-99,-99,90,9,110,150,92,-99,273,-99,-99,144,25,-99,58,180,112,200
01/01/2019,5,4,8,121,133,88,-99,-99,-99,90,3,165,152,84,-99,291,-99,-99,171,21,-99,46,167,164,161
01/01/2019,6,7,7,93,106,77,-99,-99,-99,106,3,161,141,122,-99,387,-99,-99,138,15,-99,51,165,168,186
01/01/2019,7,12,8,84,98,51,-99,-99,-99,115,-99,153,115,97,-99,393,-99,-99,125,10,-99,47,158,167,179
01/01/2019,8,15,7,101,82,39,-99,-99,-99,90,-99,139,93,73,-99,291,-99,-99,134,14,-99,29,159,156,152
01/01/2019,9,24,3,89,54,26,-99,-99,-99,90,-99,112,94,58,-99,264,-99,-99,135,13,-99,47,142,139,156
01/01/2019,10,24,-99,88,76,26,-99,-99,-99,99,2,145,82,94,-99,182,-99,-99,177,45,-99,104,125,142,160
01/01/2019,11,49,-99,102,77,66,-99,-99,-99,90,10,111,50,85,-99,139,-99,-99,120,52,-99,151,93,130,147
01/01/2019,12,52,9,105,77,88,-99,-99,-99,73,11,86,38,63,-99,81,-99,-99,84,45,-99,60,89,98,88
01/01/2019,13,75,27,84,45,96,-99,-99,-99,78,13,56,60,35,-99,41,-99,-99,49,41,-99,53,80,45,55
01/01/2019,14,76,17,85,-99,45,-99,-99,-99,56,13,42,78,24,-99,40,-99,-99,38,41,-99,45,77,59,40
01/01/2019,15,46,16,63,37,37,-99,-99,-99,45,7,52,60,21,-99,25,-99,-99,36,35,-99,38,57,55,36
01/01/2019,16,34,19,40,58,47,-99,-99,-99,36,7,42,47,15,-99,19,-99,-99,33,53,-99,29,39,34,36
01/01/2019,17,19,13,31,54,32,-99,-99,-99,28,10,16,33,14,-99,14,-99,-99,22,60,-99,34,19,15,28
01/01/2019,18,10,18,16,19,13,-99,-99,-99,14,8,20,18,15,-99,21,-99,-99,18,42,-99,26,11,16,24
01/01/2019,19,13,21,11,13,17,-99,-99,-99,23,14,22,18,21,-99,12,-99,-99,42,35,-99,14,19,34,15
01/01/2019,20,6,24,8,18,13,-99,-99,-99,20,20,40,24,29,-99,15,-99,-99,45,35,-99,17,19,16,25
01/01/2019,21,8,11,25,26,20,-99,-99,-99,17,17,30,29,19,-99,25,-99,-99,40,25,-99,25,32,23,40
01/01/2019,22,27,10,34,27,17,-99,-99,-99,29,17,23,34,31,-99,31,-99,-99,30,25,-99,31,37,32,53
01/01/2019,23,23,8,33,26,22,-99,-99,-99,30,22,37,29,56,-99,37,-99,-99,14,28,-99,27,37,41,38
01/01/2019,24,23,10,25,32,20,-99,-99,-99,30,21,34,30,53,-99,118,-99,-99,40,28,-99,21,30,41,39
02/01/2019,1,21,4,24,32,19,-99,-99,-99,25,18,52,29,31,-99,71,-99,-99,24,27,-99,26,28,36,33
02/01/2019,2,19,5,40,28,28,-99,-99,-99,26,14,61,32,29,-99,40,-99,-99,26,23,-99,26,44,34,38
02/01/2019,3,17,8,33,29,25,-99,-99,-99,34,6,42,33,25,-99,42,-99,-99,41,11,-99,28,43,39,34
02/01/2019,4,20,7,32,33,24,-99,-99,-99,41,10,36,30,30,-99,36,-99,-99,48,5,-99,28,31,49,45
02/01/2019,5,25,10,40,38,21,-99,-99,-99,35,6,44,34,21,-99,45,-99,-99,70,8,-99,27,39,44,46
02/01/2019,6,19,12,39,42,22,-99,-99,-99,35,4,33,32,24,-99,59,-99,-99,68,12,-99,39,43,42,46
02/01/2019,7,21,8,37,51,31,-99,-99,-99,30,8,56,42,22,-99,52,-99,-99,64,15,-99,31,32,30,43
02/01/2019,8,23,3,38,60,30,-99,-99,-99,36,9,60,50,28,-99,62,-99,-99,86,9,-99,27,35,31,47
02/01/2019,9,27,6,55,60,24,-99,-99,-99,59,4,90,52,28,-99,78,-99,-99,97,14,-99,54,34,66,78
02/01/2019,10,39,1,99,81,56,-99,-99,-99,87,5,112,78,33,-99,92,-99,-99,98,28,-99,80,50,73,116
02/01/2019,11,42,2,95,102,72,-99,-99,-99,80,2,113,103,44,-99,103,-99,-99,84,68,-99,80,37,92,116
02/01/2019,12,41,10,85,88,56,-99,-99,-99,69,5,71,72,27,-99,68,-99,-99,91,73,-99,65,43,72,59
02/01/2019,13,45,21,66,119,34,-99,-99,-99,45,7,39,52,1,-99,55,-99,-99,44,57,-99,33,57,69,43
02/01/2019,14,44,13,49,75,38,-99,-99,-99,60,4,50,54,-99,-99,18,-99,-99,37,63,-99,26,52,43,36
02/01/2019,15,48,14,53,41,31,-99,-99,-99,54,4,46,49,2,-99,-99,-99,-99,19,63,-99,34,46,24,30
02/01/2019,16,40,4,49,47,30,-99,-99,-99,35,7,40,45,22,-99,7,-99,-99,8,57,-99,40,29,13,17
02/01/2019,17,34,8,14,21,6,-99,-99,-99,20,3,18,37,25,-99,7,-99,-99,16,46,-99,36,-99,20,16
02/01/2019,18,28,9,14,8,4,-99,-99,-99,17,5,20,31,33,-99,12,-99,-99,14,11,-99,27,7,-99,20
02/01/2019,19,23,21,9,16,10,-99,-99,-99,14,8,8,17,18,-99,15,-99,-99,13,18,-99,27,7,-99,25
02/01/2019,20,13,15,14,18,24,-99,-99,-99,10,9,25,9,31,-99,21,-99,-99,26,13,-99,28,15,21,30
02/01/2019,21,7,9,18,37,23,-99,-99,-99,18,-99,25,9,13,-99,26,-99,-99,26,13,-99,23,15,19,46
02/01/2019,22,3,9,15,37,15,-99,-99,-99,23,-99,37,9,6,-99,33,-99,-99,32,1,-99,27,21,20,32
02/01/2019,23,7,2,21,40,12,-99,-99,-99,15,-99,34,4,17,-99,19,-99,-99,31,9,-99,21,44,21,25
02/01/2019,24,11,-99,22,19,11,-99,-99,-99,20,-99,25,12,22,-99,28,-99,-99,42,6,-99,19,25,26,35
03/01/2019,1,8,1,12,14,12,-99,-99,34,19,-99,33,16,12,-99,31,-99,-99,40,5,-99,18,27,17,46
03/01/2019,2,19,4,14,13,11,-99,-99,31,15,-99,40,17,7,-99,35,-99,-99,44,12,-99,33,27,26,51
03/01/2019,3,29,3,11,12,15,-99,-99,35,16,-99,23,12,13,-99,30,-99,-99,44,16,-99,35,37,29,54
03/01/2019,4,28,6,22,17,18,-99,-99,40,19,-99,17,18,18,-99,32,-99,-99,30,27,-99,13,29,29,54
03/01/2019,5,26,3,18,24,18,-99,-99,41,17,2,29,21,14,-99,34,-99,-99,33,17,-99,14,17,24,62
03/01/2019,6,23,7,18,24,17,-99,-99,41,14,4,21,24,21,-99,37,-99,-99,21,13,-99,17,17,23,52
03/01/2019,7,20,4,20,30,16,-99,-99,29,15,5,32,26,28,-99,36,-99,-99,39,17,-99,18,26,21,61
03/01/2019,8,16,7,18,50,22,-99,-99,35,14,4,44,34,28,-99,34,-99,-99,18,17,-99,23,26,25,50
03/01/2019,9,22,10,21,48,23,-99,-99,46,25,5,40,29,31,-99,40,-99,-99,51,12,-99,48,28,31,62
03/01/2019,10,28,10,28,47,23,-99,-99,47,30,5,44,30,42,-99,31,-99,-99,55,18,-99,42,22,47,60
03/01/2019,11,27,3,29,52,20,-99,-99,39,33,3,55,36,43,-99,24,-99,-99,35,26,-99,57,14,33,58
03/01/2019,12,35,14,32,61,24,-99,-99,41,32,8,45,30,39,-99,40,-99,-99,46,21,-99,60,6,32,47
03/01/2019,13,37,17,29,41,22,-99,-99,37,-99,15,54,26,28,-99,41,-99,-99,35,24,-99,49,14,46,31
03/01/2019,14,32,30,54,24,23,-99,-99,28,-99,10,42,49,9,-99,25,-99,-99,26,43,-99,57,32,41,41
03/01/2019,15,31,44,55,38,25,-99,-99,21,-99,11,25,53,1,-99,14,-99,-99,19,44,-99,53,26,15,-99
03/01/2019,16,19,28,45,35,26,-99,-99,23,-99,7,26,48,5,-99,9,-99,-99,28,49,-99,39,11,10,-99
03/01/2019,17,28,19,27,-99,17,-99,-99,24,-99,14,15,44,44,-99,17,-99,-99,36,43,-99,37,11,15,-99
03/01/2019,18,32,31,26,25,16,-99,-99,33,19,17,20,40,19,-99,23,-99,-99,39,29,-99,39,19,8,45
03/01/2019,19,29,26,22,31,12,-99,-99,22,25,13,8,22,18,-99,17,-99,-99,40,43,-99,36,20,-99,35
